id,groupid,size,year
Mike Tyson,United States,28.6,1990
Buster Douglas,United States,26.0,1990
Sugar Ray Leonard,United States,13.0,1990
Ayrton Senna,Brazil,10.0,1990
Alain Prost,France,9.0,1990
Jack Nicklaus,United States,8.6,1990
Greg Norman,Australia,8.5,1990
Michael Jordan,United States,8.1,1990
Arnold Palmer,United States,8.1,1990
Evander Holyfield,United States,8.1,1990
Evander Holyfield,United States,60.5,1991
Mike Tyson,United States,31.5,1991
Michael Jordan,United States,16.0,1991
George Foreman,United States,14.5,1991
Ayrton Senna,Brazil,13.0,1991
Alain Prost,France,11.0,1991
"Donovan ""Razor"" Ruddock",Canada,10.2,1991
Arnold Palmer,United States,9.3,1991
Nigel Mansell,United Kingdom,9.0,1991
Sugar Ray Leonard,United States,8.5,1991
Michael Jordan,United States,35.9,1992
Evander Holyfield,United States,28.0,1992
Ayrton Senna,Brazil,22.0,1992
Nigel Mansell,United Kingdom,14.5,1992
Arnold Palmer,United States,11.1,1992
Andre Agassi,United States,11.0,1992
Joe Montana,United States,9.5,1992
Sugar Ray Leonard,United States,9.2,1992
Jim Courier,United States,9.0,1992
Monica Seles,United States,8.5,1992
Michael Jordan,United States,36.0,1993
Riddick Bowe,United States,25.0,1993
Ayrton Senna,Brazil,18.5,1993
Alain Prost,France,16.0,1993
George Foreman,United States,15.8,1993
Shaquille O'Neal,United States,15.2,1993
Lennox Lewis,United States,15.0,1993
Cecil Fielder,United States,12.7,1993
Jim Courier,United States,12.6,1993
Joe Montana,United States,11.5,1993
Michael Jordan,United States,30.0,1994
Shaq O'Neal,United States,16.7,1994
Jack Nicklaus,United States,14.8,1994
Arnold Palmer,United States,13.6,1994
Gerhard Berger,Austria,13.5,1994
Wayne Gretzky,Canada,13.5,1994
Michael Moorer,United States,12.1,1994
Evander Holyfield,United States,12.0,1994
Andre Agassi,United States,11.4,1994
Nigel Mansell,United Kingdom,11.3,1994
Michael Jordan,United States,43.9,1995
Mike Tyson,United States,40.0,1995
Deion Sanders,United States,22.5,1995
Riddick Bowe,United States,22.2,1995
Shaquille O'Neal,United States,21.9,1995
George Foreman,United States,18.0,1995
Andre Agassi,United States,16.0,1995
Sugar Ray Leonard,United States,15.1,1995
Michael Schumacher,Germany,15.0,1995
Wayne Gretzky,Canada,14.5,1995
Mike Tyson,United States,75.0,1996
Michael Jordan,United States,52.6,1996
Michael Schumacher,Germany,33.0,1996
Shaquille O'Neal,United States,24.4,1996
Emmit Smith,United States,16.5,1996
Evander Holyfield,United States,15.5,1996
Andre Agassi,United States,15.2,1996
Arnold Palmer,United States,15.1,1996
Dennis Rodman,United States,12.9,1996
Patrick Ewing,United States,12.9,1996
Michael Jordan,United States,78.3,1997
Evander Holyfield,United States,54.3,1997
Oscar De La Hoya,United States,38.0,1997
Michael Schumacher,Germany,35.0,1997
Mike Tyson,United States,27.0,1997
Tiger Woods,United States,26.1,1997
Shaquille O'Neal,United States,25.4,1997
Dale Earnhardt,United States,19.1,1997
Joe Sakic,Canada,17.9,1997
