id,groupid,size
Mike Tyson,United States,28.6
Buster Douglas,United States,26.0
Sugar Ray Leonard,United States,13.0
Ayrton Senna,Brazil,10.0
Alain Prost,France,9.0
Jack Nicklaus,United States,8.6
Greg Norman,Australia,8.5
Michael Jordan,United States,8.1
Arnold Palmer,United States,8.1
Evander Holyfield,United States,8.1
Evander Holyfield,United States,60.5
Mike Tyson,United States,31.5
Michael Jordan,United States,16.0
George Foreman,United States,14.5
Ayrton Senna,Brazil,13.0
Alain Prost,France,11.0
"Donovan ""Razor"" Ruddock",Canada,10.2
Arnold Palmer,United States,9.3
Nigel Mansell,United Kingdom,9.0
Sugar Ray Leonard,United States,8.5
Michael Jordan,United States,35.9
Evander Holyfield,United States,28.0
Ayrton Senna,Brazil,22.0
Nigel Mansell,United Kingdom,14.5
Arnold Palmer,United States,11.1
Andre Agassi,United States,11.0
Joe Montana,United States,9.5
Sugar Ray Leonard,United States,9.2
Jim Courier,United States,9.0
Monica Seles,United States,8.5
Michael Jordan,United States,36.0
Riddick Bowe,United States,25.0
Ayrton Senna,Brazil,18.5
Alain Prost,France,16.0
George Foreman,United States,15.8
Shaquille O'Neal,United States,15.2
Lennox Lewis,United States,15.0
Cecil Fielder,United States,12.7
Jim Courier,United States,12.6
Joe Montana,United States,11.5
Michael Jordan,United States,30.0
Shaq O'Neal,United States,16.7
Jack Nicklaus,United States,14.8
Arnold Palmer,United States,13.6
Gerhard Berger,Austria,13.5
Wayne Gretzky,Canada,13.5
Michael Moorer,United States,12.1
Evander Holyfield,United States,12.0
Andre Agassi,United States,11.4
Nigel Mansell,United Kingdom,11.3
Michael Jordan,United States,43.9
Mike Tyson,United States,40.0
Deion Sanders,United States,22.5
Riddick Bowe,United States,22.2
Shaquille O'Neal,United States,21.9
George Foreman,United States,18.0
Andre Agassi,United States,16.0
Sugar Ray Leonard,United States,15.1
Michael Schumacher,Germany,15.0
Wayne Gretzky,Canada,14.5
Mike Tyson,United States,75.0
Michael Jordan,United States,52.6
Michael Schumacher,Germany,33.0
Shaquille O'Neal,United States,24.4
Emmit Smith,United States,16.5
Evander Holyfield,United States,15.5
Andre Agassi,United States,15.2
Arnold Palmer,United States,15.1
Dennis Rodman,United States,12.9
Patrick Ewing,United States,12.9
Michael Jordan,United States,78.3
Evander Holyfield,United States,54.3
Oscar De La Hoya,United States,38.0
Michael Schumacher,Germany,35.0
Mike Tyson,United States,27.0
Tiger Woods,United States,26.1
Shaquille O'Neal,United States,25.4
